Measures
	 0:  15 [cm],   0 [degrees]
	 1:  15 [cm],   1 [degrees]
	 2:  15 [cm],   2 [degrees]
	 3:  15 [cm],   3 [degrees]
	 4:  15 [cm],   4 [degrees]
	 5:  15 [cm],   5 [degrees]
	 6:  15 [cm],   6 [degrees]
	 7:  15 [cm],   7 [degrees]
	 8:  15 [cm],   8 [degrees]
	 9:  15 [cm],   9 [degrees]
	10:  15 [cm],  10 [degrees]
	11:  15 [cm],  11 [degrees]
	12:  15 [cm],  12 [degrees]
	13:  15 [cm],  13 [degrees]
	14:  15 [cm],  14 [degrees]
	15:  15 [cm],  15 [degrees]
	16:  15 [cm],  16 [degrees]
	17:  15 [cm],  17 [degrees]
	18:  15 [cm],  18 [degrees]
	19:  15 [cm],  19 [degrees]
	20:  15 [cm],  20 [degrees]
	21:  15 [cm],  21 [degrees]
	22:  15 [cm],  22 [degrees]
	23:  15 [cm],  23 [degrees]
	24:  15 [cm],  24 [degrees]
	25:  15 [cm],  25 [degrees]
	26:  15 [cm],  26 [degrees]
	27:  15 [cm],  27 [degrees]
	28:  15 [cm],  28 [degrees]
	29:  15 [cm],  29 [degrees]
	30:  15 [cm],  30 [degrees]
	31:  15 [cm],  31 [degrees]
	32:  15 [cm],  32 [degrees]
	33:  15 [cm],  33 [degrees]
	34:  15 [cm],  34 [degrees]
	35:  15 [cm],  35 [degrees]
	36:  15 [cm],  36 [degrees]
	37:  15 [cm],  37 [degrees]
	38:  15 [cm],  38 [degrees]
	39:  15 [cm],  39 [degrees]
	40:  15 [cm],  40 [degrees]
	41:  15 [cm],  41 [degrees]
	42:  15 [cm],  42 [degrees]
	43:  15 [cm],  43 [degrees]
	44:  15 [cm],  44 [degrees]
	45:  15 [cm],  45 [degrees]
	46:  15 [cm],  46 [degrees]
	47:  15 [cm],  47 [degrees]
	48:  15 [cm],  48 [degrees]
	49:  15 [cm],  49 [degrees]
	...

Position of the robot: (26, 26)

Updating the certainty grid...

Updating the polar histogram...
atan2 beta -135.000002 val :0.000000 
atan2 beta -136.169142 val :0.000000 
atan2 beta -137.385946 val :0.000000 
atan2 beta -138.652225 val :0.000000 
atan2 beta -139.969743 val :0.000000 
atan2 beta -141.340194 val :0.000000 
atan2 beta -142.765168 val :0.000000 
atan2 beta -144.246115 val :0.000000 
atan2 beta -145.784300 val :0.000000 
atan2 beta -147.380759 val :0.000000 
atan2 beta -149.036246 val :0.000000 
atan2 beta -150.751176 val :0.000000 
atan2 beta -152.525571 val :0.000000 
atan2 beta -154.358997 val :0.000000 
atan2 beta -156.250508 val :0.000000 
atan2 beta -158.198593 val :0.000000 
atan2 beta -160.201126 val :0.000000 
atan2 beta -162.255331 val :0.000000 
atan2 beta -164.357756 val :0.000000 
atan2 beta -166.504270 val :0.000000 
atan2 beta -168.690070 val :0.000000 
atan2 beta -170.909726 val :0.000000 
atan2 beta -173.157230 val :0.000000 
atan2 beta -175.426082 val :0.000000 
atan2 beta -177.709393 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 177.709393 val :0.000000 
atan2 beta 175.426082 val :0.000000 
atan2 beta 173.157230 val :0.000000 
atan2 beta 170.909726 val :0.000000 
atan2 beta 168.690070 val :0.000000 
atan2 beta 166.504270 val :0.000000 
atan2 beta 164.357756 val :0.000000 
atan2 beta 162.255331 val :0.000000 
atan2 beta 160.201126 val :0.000000 
atan2 beta 158.198593 val :0.000000 
atan2 beta 156.250508 val :0.000000 
